review_id,author_id,product_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_date,review_text,review_title
1035085,5229029371,P387511,5,1,1,3,0,3,11/29/22,"This cream is pricey, but it is so worth it! I started getting acne in my 20s from a stressful job  and tried a bunch of expensive products and procedures (chemical peels, facials, microdermabrasion). None of them worked as effectively as this one did. Since using this cream, my face has gotten smooth and soft. I rarely gets pimples now, and when I see one coming, I just apply this cream and it pretty much disappears overnight. On the downside, the fragrance does take a while to get used to because L’Occitane products tend to have a strong (but still pleasant) scent.",My holy grail
1035086,35439265952,P387511,2,0,0.5,4,2,2,8/12/22,"I used this in rotation with the Divine Youth Oil. Neither of these products left me feeling wowed in any way. If anything I found the cream slightly more effective than the oil, but at a price...red itchy spots on my cheeks and jawline area after 2 weeks of use. I’m guessing this was down to the Rosemary extract (the same ingredient that brings a rush of short-lived color to your cheeks - due to its stimulating effect on the skin). The Vitamin C in this did give me a glow which was good, and the texture of this cream was light and totally non-greasy. However something in it reacted negatively with my skin, causing bumps in areas I’ve never had bumps before. Definitely not something I could use as a daily moisturizer, at best, I’d say this is something I could use sparingly, every so often.~ My Sephora Top 7 must-have list ~(My top 7 must-have beauty products of all time, focusing mainly on my purchases at Sephora)1. Hair Loss Treatment: ‘Divine Herbal’ - Hair Oil 2. Shampoo: ’Sephora Collection’ - Deep Cleaning Shampoo3. Face Mask: ‘Peter Thomas Roth’ – Pumpkin Enzyme Mask 4. Pigmentation + Anti-Aging Serum: ‘Divine Herbal’ - Facial Treatment Serum5. Face Scrub: ‘Sisley’ - Botanical Gentle Buffing Cream6. Lip Balm: ‘Nuxe’ – Reve De Miel Lip Balm7. Lip Liner: ‘Sephora Collection’ - Rouge Gel Lip Liner",Not for me!
1035087,27285381637,P387511,4,0,1,6,0,6,2/18/22,I really did like this cream but I don’t think I’d buy it again just because of how expensive it is. It smells great with a slightly spicy scent and spreads so smoothly but leaves a slightly greasy feel after application. It’s really moisturizing and lasts a while too but I don’t think it’s a really good value for what it is.,
1035088,1696370280,P387511,4,1,0.75,4,1,3,1/12/21,"Received a 5 ml sample of this cream, and it’s great! I love a high end moisturizer that is thick and rich, but absorbs easily into skin",
1035089,2692934863,P387511,4,1,0.93333298,15,1,14,12/9/20,"I love this face cream - I don’t love the price lol. This weird thing always happens to me when I finish a jar - my skin is amazing while I’m using it, but then if I run out and don’t start a new jar right away, I get super dry patches around my nose and mouth area. It’s like it trains your skin to only accept this expensive af cream and then when you stop, your skin revolts. Anyway, I have oily skin and this never breaks me out. It’s a great cream, but the price makes replacing it annoying, and if I don’t replace it right away my skin freaks out.",
1035090,7178152696,P387511,3,0,0.5,4,2,2,11/17/20,"It’s a nice cream. It has a smokey, earthy scent to it. When I put it on my skin felt oily, but it dried really quickly. But I can feel it on my skin. I don’t think it’s worth the price.","Great scent, oily feel"
1035091,2249756960,P387511,2,0,0.714286029,7,2,5,11/5/20,"This is a rich, very nice cream but the PRICE IS INSANE.",Overpriced
1035092,1278638995,P387511,5,1,1,2,0,2,9/2/20,Long lasting and extremely effective. It’s expensive but worth the splurge. Love the scent and how soft my skin feels after using it.,Great product
1035093,1514990257,P387511,3,0,0.416667014,12,7,5,8/3/20,"It’s a good cream, but not a miracle worker. You would expect a lot more for the price. It does leave my skin moisturized, but nothing beyond that. It’s a bit heavy and maybe too greasy for combination skin.",
1035094,2776710623,P387511,3,1,0.466666996,15,8,7,6/23/20,I used a whole container and never saw any difference from cheaper products - not worth it,not worth it
